"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"					
П100100234004		/	Е	1	0					
П100100234005		/	Е	1	0					
П100100235002		/	С	1	0					
П100100235003		/	С	1	0					
П100100235004		/	Е	1	0					
П100100235005		/	Е	1	0					
П100100242102		/	С	1	0					
П100100242103		/	С	1	0					
П100100242104		/	Е	1	0					
П100100242105		/	Е	1	0					
П100100243002		/	С	1	0					
П100100243003		/	С	1	0					
П100100243004		/	Е	1	0					
П100100243005		/	Е	1	0					
П100100245002		/	С	1	0					
П100100245003		/	С	1	0					
П100100245004		/	Е	1	0					
П100100245005		/	Е	1	0					
П100100246002		/	С	1	0					
П100100246003		/	С	1	0					
П100100246004		/	Е	1	0					
П100100246005		/	Е	1	0					
П000100210004			Е		4					
П000100210005			Е		4					
П000100211004			Е		3					
П000100211005			Е		3					
П000100212004			Е		3					
П000100212005			Е		3					
П000100220004			Е		4					
П000100220005			Е		4					
П000100221004			Е		3					
П000100221005			Е		3					
П000100222004			Е		3					
П000100222005			Е		3					
П000100230004			Е		4					
П000100230005			Е		4					
										
П000100231004			Е		3					
П000100231005			Е		3					
П000102310104			Е		3					
П000102310105			Е		3					
П000102310204			Е		3					
П000102310205			Е		3					
П000102310304			Е		3					
П000102310305			Е		3					
										
П000100232004			Е		3					
П000100232005			Е		3					
П000102320104			Е		3					
П000102320105			Е		3					
П000102320204			Е		3					
П000102320205			Е		3					
П000102320304			Е		3					
П000102320305			Е		3					
										
П000100233004			Е		3					
П000100233005			Е		3					
П000102330104			Е		3					
П000102330105			Е		3					
П000102330204			Е		3					
П000102330205			Е		3					
										
П000100234004			Е		3					
П000100234005			Е		3					
П000102340104			Е		3					
П000102340105			Е		3					
П000102340204			Е		3					
П000102340205			Е		3					
П000102340304			Е		3					
П000102340305			Е		3					
П000102340404			Е		3					
П000102340405			Е		3					
П000102340504			Е		3					
П000102340505			Е		3					
П000102340604			Е		3					
П000102340605			Е		3					
П000102340704			Е		3					
П000102340705			Е		3					
П000102340804			Е		3					
П000102340805			Е		3					
П000102340904			Е		3					
П000102340905			Е		3					
П000102341004			Е		3					
П000102341005			Е		3					
П000102341104			Е		3					
П000102341105			Е		3					
П000102341204			Е		3					
П000102341205			Е		3					
П000102341304			Е		3					
П000102341305			Е		3					
П000102341404			Е		3					
П000102341405			Е		3					
П000102341504			Е		3					
П000102341505			Е		3					
П000102341604			Е		3					
П000102341605			Е		3					
П000102341704			Е		3					
П000102341705			Е		3					
П000102341804			Е		3					
П000102341805			Е		3					
П000102341904			Е		3					
П000102341905			Е		3					
П000102342004			Е		3					
П000102342005			Е		3					
П000102342104			Е		3					
П000102342105			Е		3					
П000102342204			Е		3					
П000102342205			Е		3					
П000102342304			Е		3					
П000102342305			Е		3					
П000102342404			Е		3					
П000102342405			Е		3					
										
П000100235004			Е		3					
П000100235005			Е		3					
П000102350104			Е		3					
П000102350105			Е		3					
П000102350204			Е		3					
П000102350205			Е		3					
П000102350304			Е		3					
П000102350305			Е		3					
П000102350404			Е		3					
П000102350405			Е		3					
П000102350504			Е		3					
П000102350505			Е		3					
П000102350604			Е		3					
П000102350605			Е		3					
П000102350704			Е		3					
П000102350705			Е		3					
П000102350804			Е		3					
П000102350805			Е		3					
П000102350904			Е		3					
П000102350905			Е		3					
П000102351004			Е		3					
П000102351005			Е		3					
П000102351104			Е		3					
П000102351105			Е		3					
П000102351204			Е		3					
П000102351205			Е		3					
П000102351304			Е		3					
П000102351305			Е		3					
П000102351404			Е		3					
П000102351405			Е		3					
П000102351504			Е		3					
П000102351505			Е		3					
П000102351604			Е		3					
П000102351605			Е		3					
П000102351704			Е		3					
П000102351705			Е		3					
П000102351804			Е		3					
П000102351805			Е		3					
П000102351904			Е		3					
П000102351905			Е		3					
П000102352004			Е		3					
П000102352005			Е		3					
П000102352104			Е		3					
П000102352105			Е		3					
П000102352204			Е		3					
П000102352205			Е		3					
П000102352304			Е		3					
П000102352305			Е		3					
П000102352404			Е		3					
П000102352405			Е		3					
П000102352504			Е		3					
П000102352505			Е		3					
П000102352604			Е		3					
П000102352605			Е		3					
П000102352704			Е		3					
П000102352705			Е		3					
П000102352804			Е		3					
П000102352805			Е		3					
П000102352904			Е		3					
П000102352905			Е		3					
П000102353004			Е		3					
П000102353005			Е		3					
П000102353104			Е		3					
П000102353105			Е		3					
П000102353204			Е		3					
П000102353205			Е		3					
										
П000100240004			Е		4					
П000100240005			Е		4					
П000100241004			Е		3					
П000100241005			Е		3					
П000100242104			Е		3					
П000100242105			Е		3					
П000100243004			Е		3					
П000100243005			Е		3					
П000100245004			Е		3					
П000100245005			Е		3					
П000100246004			Е		3					
П000100246005			Е		3					
П000102460104			Е		3					
П000102460105			Е		3					
П000102460204			Е		3					
П000102460205			Е		3					
П000100250004			Е		4					
П000100250005			Е		4					
П000100251004			Е		3					
П000100251005			Е		3					
П000102510104			Е		3					
П000102510105			Е		3					
П000102510204			Е		3					
П000102510205			Е		3					
П000100252004			Е		0					
П000100252005			Е		0					
П000100290004			Е		0					
П000100290005			Е		0					
П000100291004			Е		0					
П000100291005			Е		0					

П100100210002		/	С	1	0					
П100100210003		/	С	1	0					
П100100210004		/	Е	1	0					
П100100210005		/	Е	1	0					
П100100211002		/	С	1	0					
П100100211003		/	С	1	0					
П100100211004		/	Е	1	0					
П100100211005		/	Е	1	0					
П100100212002		/	С	1	0					
П100100212003		/	С	1	0					
П100100212004		/	Е	1	0					
П100100212005		/	Е	1	0					
П100100220002		/	С	1	0					
П100100220003		/	С	1	0					
П100100220004		/	Е	1	0					
П100100220005		/	Е	1	0					
П100100221002		/	С	1	0					
П100100221003		/	С	1	0					
П100100221004		/	Е	1	0					
П100100221005		/	Е	1	0					
П100100222002		/	С	1	0					
П100100222003		/	С	1	0					
П100100222004		/	Е	1	0					
П100100222005		/	Е	1	0					
П100100230002		/	С	1	0					
П100100230003		/	С	1	0					
П100100230004		/	Е	1	0					
П100100230005		/	Е	1	0					
П100100234002		/	С	1	0					
П100100234003		/	С	1	0					
П100100234004		/	Е	1	0					
П100100234005		/	Е	1	0					
П100100235002		/	С	1	0					
