"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"
П000101220105			Е		3
П000101220106			Е		3
П000101220204			Е		3
П000101220205			Е		3
П000101220206			Е		3
П000101220304			Е		3
П000101220305			Е		3
П000101220306			Е		3
П000101220404			Е		3
П000101220405			Е		3
П000101220406			Е		3
П000101220504			Е		3
П000101220505			Е		3
П000101220506			Е		3
П000101220604			Е		3
П000101220605			Е		3
П000101220606			Е		3
П000101220704			Е		3
П000101220705			Е		3
П000101220706			Е		3
П000101229902		/	С	1	0
П000101229903		/	С	1	0
П000101229904		/	Е	1	0
П000101229905		/	Е	1	0
П000101229906		/	Е	1	0
					
П000100123004			Е		3
П000100123005			Е		3
П000100123006			Е		3
П000101230104			Е		3
П000101230105			Е		3
П000101230106			Е		3
П000101230204			Е		3
П000101230205			Е		3
П000101230206			Е		3
П000101230304			Е		3
П000101230305			Е		3
П000101230306			Е		3
П000101230404			Е		3
П000101230405			Е		3
П000101230406			Е		3
П000101230504			Е		3
П000101230505			Е		3
П000101230506			Е		3
П000101230604			Е		3
П000101230605			Е		3
П000101230606			Е		3
П000101230704			Е		3
П000101230705			Е		3
П000101230706			Е		3
П000101230804			Е		3
П000101230805			Е		3
П000101230806			Е		3
П000101230904			Е		3
П000101230905			Е		3
П000101230906			Е		3
П000101231004			Е		3
П000101231005			Е		3
П000101231006			Е		3
П000101239902		/	С	1	0
П000101239903		/	С	1	0
П000101239904		/	Е	1	0
П000101239905		/	Е	1	0
П000101239906		/	Е	1	0
					
П000100124004			Е		3
П000100124005			Е		3
П000100124006			Е		3
П000101240104			Е		3
П000101240105			Е		3
П000101240106			Е		3
П000101240204			Е		3
П000101240205			Е		3
П000101240206			Е		3
П000101240304			Е		3
П000101240305			Е		3
П000101240306			Е		3
П000101240404			Е		3
П000101240405			Е		3
П000101240406			Е		3
П000101240504			Е		3
П000101240505			Е		3
П000101240506			Е		3
П000101240604			Е		3
П000101240605			Е		3
П000101240606			Е		3
П000101240704			Е		3
П000101240705			Е		3
П000101240706			Е		3
П000101249902		/	С	1	0
П000101249903		/	С	1	0
